59140.0, {'gneJ207': np.float32(-0.9464286)}, {'gneJ207': 5}, {'gneJ207': 11}, 
59150.0, {'gneJ207': np.float32(-1.5089285)}, {'gneJ207': 6}, {'gneJ207': 14}, 
59160.0, {'gneJ207': np.float32(-1.8839285)}, {'gneJ207': 7}, {'gneJ207': 14}, 
59170.0, {'gneJ207': np.float32(-2.450893)}, {'gneJ207': 7}, {'gneJ207': 14}, 
59180.0, {'gneJ207': np.float32(-1.2232143)}, {'gneJ207': 4}, {'gneJ207': 7}, 
59190.0, {'gneJ207': np.float32(-1.2857143)}, {'gneJ207': 3}, {'gneJ207': 7}, 
59200.0, {'gneJ207': np.float32(-1.6517857)}, {'gneJ207': 6}, {'gneJ207': 12}, 
59210.0, {'gneJ207': np.float32(-2.3348215)}, {'gneJ207': 7}, {'gneJ207': 17}, 
59220.0, {'gneJ207': np.float32(-1.0401785)}, {'gneJ207': 4}, {'gneJ207': 11}, 
59230.0, {'gneJ207': np.float32(-1.3794643)}, {'gneJ207': 4}, {'gneJ207': 10}, 
59240.0, {'gneJ207': np.float32(-1.6205357)}, {'gneJ207': 7}, {'gneJ207': 13}, 
59250.0, {'gneJ207': np.float32(-2.28125)}, {'gneJ207': 7}, {'gneJ207': 16}, 
59260.0, {'gneJ207': np.float32(-2.8080356)}, {'gneJ207': 7}, {'gneJ207': 14}, 
59270.0, {'gneJ207': np.float32(-3.3973215)}, {'gneJ207': 7}, {'gneJ207': 15}, 
59280.0, {'gneJ207': np.float32(-3.9419644)}, {'gneJ207': 7}, {'gneJ207': 13}, 
59290.0, {'gneJ207': np.float32(-2.044643)}, {'gneJ207': 4}, {'gneJ207': 7}, 
59300.0, {'gneJ207': np.float32(-0.017857144)}, {'gneJ207': 1}, {'gneJ207': 1}, 
59310.0, {'gneJ207': np.float32(-0.0625)}, {'gneJ207': 2}, {'gneJ207': 4}, 
59320.0, {'gneJ207': np.float32(-0.23660715)}, {'gneJ207': 3}, {'gneJ207': 6}, 
59330.0, {'gneJ207': np.float32(-0.6339286)}, {'gneJ207': 7}, {'gneJ207': 12}, 
59340.0, {'gneJ207': np.float32(-1.2098215)}, {'gneJ207': 7}, {'gneJ207': 13}, 
59350.0, {'gneJ207': np.float32(-1.8258928)}, {'gneJ207': 7}, {'gneJ207': 15}, 
59360.0, {'gneJ207': np.float32(-1.0625)}, {'gneJ207': 4}, {'gneJ207': 7}, 
59370.0, {'gneJ207': np.float32(-1.375)}, {'gneJ207': 4}, {'gneJ207': 7}, 
59380.0, {'gneJ207': np.float32(-1.8392857)}, {'gneJ207': 7}, {'gneJ207': 12}, 
59390.0, {'gneJ207': np.float32(-2.375)}, {'gneJ207': 7}, {'gneJ207': 12}, 
59400.0, {'gneJ207': np.float32(-2.9107144)}, {'gneJ207': 7}, {'gneJ207': 12}, 
59410.0, {'gneJ207': np.float32(-1.1875)}, {'gneJ207': 4}, {'gneJ207': 6}, 
